user_id;date;gun type id;gun power;hitting the target;action id
2824;02.03.2019;4165;4;1;1
2686;02.03.2019;14889;5;0;2
3083;02.03.2019;14985;9;1;3
2994;02.03.2019;15018;3;1;4
2740;02.03.2019;15114;1;1;5
2855;03.03.2019;4165;1;1;6
2870;03.03.2019;8486;1;0;7
2682;03.03.2019;12117;0;1;8
3065;03.03.2019;15018;2;1;9
3467;04.03.2019;4165;0;1;10
2824;04.03.2019;14622;5;0;11
2856;04.03.2019;14805;1;0;12
3399;04.03.2019;14889;5;0;13
3657;04.03.2019;14898;1;1;14
2907;04.03.2019;15018;2;0;15
2814;04.03.2019;15114;3;0;16
3639;04.03.2019;15627;0;0;17
2705;05.03.2019;1972;1;1;18
3262;05.03.2019;4165;1;1;19
3380;05.03.2019;5542;0;0;20
3355;05.03.2019;8168;0;1;21
3180;05.03.2019;8918;0;1;22
3307;05.03.2019;10476;0;1;23
3181;05.03.2019;10683;0;1;24
3595;05.03.2019;11541;0;1;25
3016;05.03.2019;14622;1;1;26
3496;05.03.2019;14805;0;1;27
2734;05.03.2019;14889;1;1;28
2702;05.03.2019;15018;1;0;29
2820;05.03.2019;15114;2;1;30
3259;05.03.2019;17488;1;1;31
3152;05.03.2019;17731;0;1;32
3127;05.03.2019;17812;0;1;33
3331;06.03.2019;14889;1;1;34
2721;06.03.2019;15018;1;0;35
3504;06.03.2019;15114;0;1;36
3541;11.03.2019;4165;1;1;37
3558;11.03.2019;14889;2;0;38
2947;12.03.2019;4165;1;1;39
3471;12.03.2019;4999;2;1;40
3528;12.03.2019;5002;2;0;41
2706;12.03.2019;8432;0;1;42
3119;12.03.2019;14889;8;1;43
3470;12.03.2019;14898;1;1;44
3164;12.03.2019;14985;1;0;45
2964;12.03.2019;15054;1;1;46
3520;12.03.2019;15114;2;0;47
3200;12.03.2019;15635;0;1;48
3321;13.03.2019;8432;0;1;49
2819;13.03.2019;8486;0;1;50
2680;13.03.2019;14889;1;1;51
3593;13.03.2019;14898;0;1;52
2794;13.03.2019;15018;0;1;53
3307;13.03.2019;15114;0;1;54
3319;13.03.2019;15528;4;0;55
3105;15.03.2019;4939;1;0;56
2676;15.03.2019;12165;1;0;57
2870;15.03.2019;14889;1;1;58
2964;15.03.2019;14898;0;1;59
3443;15.03.2019;15018;1;0;60
2742;15.03.2019;15114;1;1;61
3385;15.03.2019;15528;0;1;62
3490;16.03.2019;12114;15;0;63
2822;16.03.2019;14889;1;1;64
3192;16.03.2019;15513;2;1;65
3269;17.03.2019;4165;1;1;66
3051;17.03.2019;8486;1;0;67
3187;17.03.2019;12114;5;0;68
3540;17.03.2019;13614;0;1;69
3022;18.03.2019;12114;3;1;70
2766;18.03.2019;13260;3;1;71
2768;18.03.2019;13646;2;1;72
3090;19.03.2019;4165;0;1;73
3243;19.03.2019;4810;0;1;74
2960;19.03.2019;4939;0;1;75
3139;19.03.2019;8486;1;0;76
3071;19.03.2019;12114;1;1;77
3366;19.03.2019;13646;1;1;78
3261;19.03.2019;16792;0;0;79
3123;20.03.2019;4165;1;0;80
2981;20.03.2019;5002;1;1;81
2779;20.03.2019;8447;0;1;82
2817;20.03.2019;8918;0;1;83
2776;20.03.2019;9555;3;0;84
3259;20.03.2019;12114;2;0;85
3116;20.03.2019;12165;0;1;86
3442;20.03.2019;16714;3;0;87
3190;20.03.2019;18004;1;1;88
2991;21.03.2019;12114;2;1;89
3570;21.03.2019;13614;1;1;90
2902;21.03.2019;16714;3;1;91
3040;22.03.2019;16714;4;1;92
3272;24.03.2019;12114;1;1;93
3428;24.03.2019;16714;3;1;94
2988;25.03.2019;16714;1;1;95
2687;26.03.2019;12114;1;1;96
3270;26.03.2019;16714;0;1;97
2832;27.03.2019;12114;1;0;98
3218;27.03.2019;16714;4;1;99
2914;28.03.2019;4165;1;1;100
2847;28.03.2019;4939;0;1;101
3264;28.03.2019;9555;0;1;102
3613;28.03.2019;12114;1;1;103
2693;28.03.2019;13646;0;0;104
2679;28.03.2019;16714;2;0;105
3392;29.03.2019;5743;0;1;106
3368;29.03.2019;12114;0;1;107
3139;29.03.2019;14889;1;1;108
3100;29.03.2019;15018;0;1;109
2673;29.03.2019;15114;1;1;110
2754;29.03.2019;16714;1;1;111
2696;03.04.2019;12114;2;0;112
3622;03.04.2019;14889;5;0;113
3242;03.04.2019;14994;2;1;114
3581;03.04.2019;15018;12;0;115
3195;03.04.2019;16714;4;1;116
3633;03.04.2019;17947;3;1;117
2819;03.04.2019;18325;0;1;118
3407;04.04.2019;4165;0;0;119
2897;04.04.2019;5002;2;0;120
3473;04.04.2019;12114;4;1;121
3291;04.04.2019;14889;5;1;122
3041;04.04.2019;14985;1;0;123
2979;04.04.2019;15018;8;1;124
3250;04.04.2019;15513;4;1;125
3281;04.04.2019;16714;3;0;126
3603;05.04.2019;4939;1;1;127
3611;05.04.2019;7045;1;1;128
2737;05.04.2019;8195;0;1;129
3537;05.04.2019;8486;1;1;130
3260;05.04.2019;12114;6;0;131
2679;05.04.2019;14889;5;1;132
3495;05.04.2019;14898;1;0;133
3342;05.04.2019;15018;4;1;134
3347;05.04.2019;15513;0;1;135
2933;05.04.2019;15627;0;1;136
2887;06.04.2019;12114;21;0;137
2839;06.04.2019;14889;2;1;138
3091;06.04.2019;15018;2;1;139
3423;06.04.2019;15528;3;0;140
2804;06.04.2019;16714;1;0;141
2750;07.04.2019;12114;2;1;142
2774;07.04.2019;14898;1;1;143
3622;07.04.2019;15018;1;1;144
2880;07.04.2019;15114;1;0;145
3427;08.04.2019;4999;1;1;146
2738;08.04.2019;12114;2;1;147
3189;08.04.2019;14889;2;1;148
2909;08.04.2019;15018;8;0;149
3104;09.04.2019;12114;1;1;150
3644;09.04.2019;14889;0;1;151
3077;09.04.2019;14898;2;0;152
2856;09.04.2019;14994;0;1;153
3620;09.04.2019;15018;0;1;154
2672;09.04.2019;18127;1;1;155
3481;12.04.2019;4165;0;1;156
2840;12.04.2019;11688;0;1;157
2837;12.04.2019;12114;2;1;158
2795;12.04.2019;12171;0;1;159
3375;12.04.2019;13614;1;1;160
2935;12.04.2019;13646;1;0;161
3338;12.04.2019;14889;1;1;162
3378;12.04.2019;14898;1;1;163
3091;12.04.2019;14985;1;1;164
3106;12.04.2019;15018;1;1;165
3470;12.04.2019;15513;0;1;166
3262;12.04.2019;15528;1;1;167
2965;12.04.2019;15576;0;1;168
2856;12.04.2019;15627;0;1;169
3534;12.04.2019;17812;0;1;170
3084;17.04.2019;4165;3;0;171
2861;17.04.2019;8447;1;0;172
2705;17.04.2019;12114;3;1;173
3474;17.04.2019;14889;3;0;174
3455;18.04.2019;4165;1;0;175
3499;18.04.2019;5002;2;1;176
3305;18.04.2019;12114;1;1;177
3339;18.04.2019;14889;2;1;178
3084;18.04.2019;14898;1;0;179
3481;18.04.2019;15018;1;1;180
3166;18.04.2019;15114;0;1;181
3188;19.04.2019;14889;1;0;182
3539;20.04.2019;4165;1;0;183
2775;20.04.2019;9555;0;1;184
2779;20.04.2019;12114;0;1;185
3486;20.04.2019;14889;1;1;186
2710;20.04.2019;15018;0;1;187
2945;20.04.2019;15114;0;1;188
3463;21.04.2019;14889;1;1;189
3409;04.04.2019;9386;0;0;190
4094;04.04.2019;11874;0;1;191
3958;04.04.2019;18124;20;1;192
3995;04.04.2019;18286;0;1;193
4021;04.04.2019;18304;0;1;194
4033;05.04.2019;6309;0;1;195
3648;05.04.2019;11877;0;1;196
3474;05.04.2019;18124;1;1;197
3302;05.04.2019;18310;0;1;198
3268;08.04.2019;1972;2;0;199
3758;08.04.2019;11799;0;0;200
3351;08.04.2019;11823;8;1;201
3097;08.04.2019;11874;2;1;202
3535;08.04.2019;15717;0;1;203
3882;08.04.2019;16263;3;1;204
3143;08.04.2019;18304;0;1;205
3290;08.04.2019;18379;1;0;206
3264;09.04.2019;9386;0;0;207
3647;09.04.2019;18301;0;1;208
3765;10.04.2019;6216;0;1;209
3473;12.04.2019;16378;0;1;210
4039;12.04.2019;18127;1;1;211
3537;12.04.2019;18319;1;1;212
3573;12.04.2019;18382;0;0;213
4326;14.03.2019;6321;1;1;214
4115;14.03.2019;8498;1;1;215
3899;14.03.2019;9909;1;1;216
4058;14.03.2019;13236;1;1;217
4042;14.03.2019;13350;2;1;218
4487;14.03.2019;13449;1;0;219
4666;14.03.2019;16729;0;1;220
4485;14.03.2019;18043;1;1;221
3839;14.03.2019;18133;1;0;222
4507;14.04.2019;9221;1;1;223
3734;14.04.2019;12039;0;0;224
4522;14.04.2019;13239;0;1;225
4729;14.04.2019;13377;1;1;226
3898;05.03.2019;3898;1;1;227
3974;05.03.2019;3916;2;1;228
3995;05.03.2019;3979;2;1;229
4159;05.03.2019;6518;0;0;230
4494;05.03.2019;8498;2;1;231
3873;05.03.2019;8804;1;0;232
3785;05.03.2019;8828;2;0;233
3903;05.03.2019;9029;1;0;234
4288;05.03.2019;9110;0;0;235
4708;05.03.2019;9702;1;0;236
4437;05.03.2019;11061;2;1;237
3814;05.03.2019;11073;0;0;238
4166;05.03.2019;11652;1;0;239
4533;05.03.2019;11805;1;1;240
4431;05.03.2019;11901;1;1;241
4213;05.03.2019;11910;0;1;242
4027;05.03.2019;11925;1;1;243
4021;05.03.2019;11931;1;1;244
3982;05.03.2019;11955;0;0;245
4076;05.03.2019;12573;1;1;246
4147;05.03.2019;12633;2;1;247
3924;05.03.2019;12636;1;1;248
4029;05.03.2019;13014;1;0;249
4391;05.03.2019;13434;1;0;250
4324;05.03.2019;13617;1;0;251
4245;05.03.2019;14712;0;1;252
4429;05.03.2019;15705;0;1;253
4418;05.03.2019;15804;1;1;254
3850;05.03.2019;15888;0;0;255
4392;05.03.2019;16008;1;1;256
4045;05.03.2019;16444;1;1;257
4427;05.03.2019;16456;1;0;258
4242;05.03.2019;16510;0;0;259
4154;05.03.2019;16534;0;0;260
4019;05.03.2019;16669;3;1;261
4061;05.03.2019;16699;1;1;262
3881;05.03.2019;16741;1;1;263
4460;05.03.2019;16780;1;0;264
4286;05.03.2019;16801;0;1;265
4123;05.03.2019;16810;0;1;266
4630;05.03.2019;16813;0;1;267
3954;05.03.2019;16834;3;1;268
4473;05.03.2019;16840;0;0;269
3755;05.03.2019;17758;1;0;270
4211;05.03.2019;17776;1;1;271
4434;05.03.2019;17788;0;1;272
4489;05.03.2019;17815;2;1;273
4493;05.03.2019;17818;1;0;274
4534;06.03.2019;7;1;1;275
4357;06.03.2019;34;1;1;276
4029;06.03.2019;706;1;1;277
4422;06.03.2019;1615;1;1;278
4298;06.03.2019;1972;1;1;279
4580;06.03.2019;2089;1;1;280
4249;06.03.2019;2764;0;1;281
4512;06.03.2019;2812;1;1;282
3836;06.03.2019;3286;0;0;283
4070;06.03.2019;3904;0;0;284
3941;06.03.2019;3916;1;1;285
3942;06.03.2019;3919;1;0;286
4378;06.03.2019;3925;1;0;287
4601;06.03.2019;3949;0;0;288
4340;06.03.2019;3952;1;1;289
4657;06.03.2019;3955;1;1;290
4660;06.03.2019;6330;1;1;291
4240;06.03.2019;6363;1;0;292
4248;06.03.2019;6688;0;0;293
4557;06.03.2019;7745;1;0;294
4014;06.03.2019;7751;1;1;295
4301;06.03.2019;7850;0;0;296
3850;06.03.2019;8264;0;1;297
3935;06.03.2019;8793;1;1;298
4161;06.03.2019;8825;1;1;299
3846;06.03.2019;8828;0;0;300
4268;06.03.2019;8831;0;1;301
4107;06.03.2019;9990;0;1;302
4244;06.03.2019;10968;1;0;303
4221;06.03.2019;11694;0;1;304
4219;06.03.2019;11802;0;0;305
4523;06.03.2019;11931;0;1;306
3899;06.03.2019;12612;1;1;307
4645;06.03.2019;12633;0;0;308
3961;06.03.2019;12636;0;0;309
4034;06.03.2019;12936;1;0;310
4503;06.03.2019;13020;2;1;311
4495;06.03.2019;13116;0;1;312
4632;06.03.2019;13422;1;0;313
4376;06.03.2019;15681;1;1;314
4206;06.03.2019;15957;1;0;315
4334;06.03.2019;16014;0;0;316
4681;06.03.2019;16248;1;1;317
4719;06.03.2019;16251;1;0;318
4527;06.03.2019;16369;0;1;319
4736;06.03.2019;16501;1;1;320
4743;06.03.2019;16591;0;1;321
4300;06.03.2019;16669;3;1;322
3997;06.03.2019;16741;0;0;323
4581;06.03.2019;16834;0;1;324
3803;06.03.2019;16939;0;1;325
4529;06.03.2019;17050;1;1;326
4552;06.03.2019;17158;1;1;327
4134;06.03.2019;17776;2;0;328
4497;06.03.2019;17815;1;1;329
4412;07.03.2019;3565;1;1;330
4573;07.03.2019;3613;2;0;331
4380;07.03.2019;3616;1;1;332
4028;07.03.2019;3622;0;1;333
4443;07.03.2019;3628;0;1;334
3818;07.03.2019;3658;1;0;335
4396;07.03.2019;3796;1;1;336
4130;07.03.2019;3847;1;1;337
3953;07.03.2019;3865;1;0;338
3873;07.03.2019;10815;0;1;339
4072;07.03.2019;12735;0;1;340
4727;07.03.2019;16510;0;1;341
3835;07.03.2019;16542;1;1;342
4567;07.03.2019;16554;0;1;343
4388;07.03.2019;16557;0;0;344
4040;07.03.2019;16702;0;0;345
4468;07.03.2019;17791;0;1;346
4705;16.04.2019;14448;0;1;347
4666;08.04.2019;12819;0;1;348
5199;08.04.2019;14937;1;1;349
5429;16.04.2019;12063;2;1;350
5122;16.04.2019;18364;15;1;351
5073;16.04.2019;18412;7;0;352
5227;11.04.2019;4429;0;1;353
4850;11.04.2019;4456;9;1;354
5316;11.04.2019;5968;5;1;355
4771;11.04.2019;13011;4;0;356
4804;11.04.2019;15513;17;1;357
5391;15.04.2019;4456;3;1;358
5551;15.04.2019;13011;2;1;359
5302;15.04.2019;18202;0;1;360
4933;16.04.2019;4456;2;1;361
5670;16.04.2019;13011;16;1;362
5230;16.04.2019;15513;11;1;363
4984;20.04.2019;13011;1;0;364
4810;20.04.2019;15513;15;1;365
5417;21.04.2019;13011;3;1;366
5385;22.04.2019;13011;1;1;367
4735;23.04.2019;4456;1;1;368
5486;23.04.2019;13011;2;1;369
5314;23.04.2019;15513;9;1;370
6152;13.03.2019;526;2;1;371
5781;13.03.2019;658;1;0;372
5602;13.03.2019;712;0;0;373
6233;13.03.2019;745;0;1;374
6091;13.03.2019;748;1;0;375
6261;13.03.2019;12735;0;1;376
5925;13.03.2019;13785;1;1;377
6243;13.03.2019;14787;1;0;378
5877;13.03.2019;14805;0;0;379
6654;13.03.2019;18037;0;1;380
7017;13.03.2019;18046;0;1;381
6721;25.03.2019;11073;1;0;382
6754;25.03.2019;16560;0;1;383
7179;25.03.2019;18037;0;1;384
6917;25.03.2019;18181;1;1;385
7151;25.03.2019;18202;4;1;386
6833;25.03.2019;18208;2;0;387
6549;25.03.2019;18214;1;1;388
8645;06.03.2019;12735;0;1;389
8643;09.04.2019;508;0;1;390
8100;09.04.2019;601;0;1;391
8454;09.04.2019;745;0;1;392
8419;09.04.2019;871;0;1;393
8272;09.04.2019;1051;0;1;394
8789;09.04.2019;6727;0;1;395
8627;09.04.2019;11793;0;1;396
8346;09.04.2019;16801;0;1;397
8241;16.04.2019;1051;0;1;398
8568;17.04.2019;1051;0;1;399
8875;17.04.2019;6727;0;1;400
8824;23.03.2019;12039;0;0;401
8599;24.03.2019;11799;7;1;402
9020;24.03.2019;12738;0;1;403
8836;29.03.2019;7460;0;1;404
8730;29.03.2019;11799;0;1;405
8508;29.03.2019;13116;1;1;406
8529;31.03.2019;11799;0;1;407
8300;31.03.2019;18124;0;1;408
8945;01.04.2019;12039;0;1;409
8311;01.04.2019;12168;0;1;410
9034;04.04.2019;7460;0;0;411
8397;05.04.2019;12039;0;1;412
11112;13.04.2019;4453;1;1;413
11976;01.03.2019;12021;4;1;414
12588;01.03.2019;13209;13;1;415
11870;01.03.2019;16011;0;1;416
12176;01.03.2019;16236;0;1;417
12060;01.03.2019;16447;3;0;418
12437;01.03.2019;16744;4;0;419
12560;02.03.2019;12021;5;0;420
12427;02.03.2019;12825;14;0;421
12153;02.03.2019;12873;69;0;422
11808;02.03.2019;13107;20;1;423
